#	0.7787464191022165
%10	1.0
%11	1.0
%12	1.0
%13	1.0
%14	1.0
%15	1.0
%16	1.0
%17	1.0
%18	1.0
%19	1.0
%20	1.0
%21	1.0
%22	1.0
%23	1.0
%24	1.0
%25	1.0
%26	1.0
%27	1.0
%28	1.0
%29	1.0
%30	1.0
%31	1.0
%32	1.0
%33	1.0
%34	1.0
%35	1.0
%36	1.0
%37	1.0
%38	1.0
%39	1.0
%40	1.0
%41	1.0
%42	1.0
%43	1.0
%44	1.0
%45	1.0
%46	1.0
%47	1.0
%48	1.0
%49	1.0
%50	1.0
%51	1.0
%52	1.0
%53	1.0
%54	1.0
%55	1.0
%56	1.0
%57	1.0
%58	1.0
%59	1.0
%60	1.0
%61	1.0
%62	1.0
%63	1.0
%64	1.0
%65	1.0
%66	1.0
%67	1.0
%68	1.0
%69	1.0
%70	1.0
%71	1.0
%72	1.0
%73	1.0
%74	1.0
%75	1.0
%76	1.0
%77	1.0
%78	1.0
%79	1.0
%80	1.0
%81	1.0
%82	1.0
%83	1.0
%84	1.0
%85	1.0
%86	1.0
%87	1.0
%88	1.0
%89	1.0
%90	1.0
%91	1.0
%92	1.0
(	0.616066497378446
)	0.616066497378446
*	1.0
+10]	1.0
+11]	1.0
+12]	1.0
+13]	1.0
+14]	1.0
+15]	1.0
+2]	0.9920184880667481
+3]	1.0
+4]	1.0
+5]	1.0
+6]	1.0
+7]	1.0
+8]	1.0
+9]	1.0
+]	0.7832814225592568
-	0.7257736825825938
-2]	1.0
-3]	1.0
-4]	1.0
-5]	1.0
-6]	1.0
-7]	1.0
-8]	1.0
-9]	1.0
->	1.0
-]	0.7794905544036548
.	0.7698174997478754
/	0.7434048437043556
1	0.6320433171932353
2	0.6465824517331676
3	0.6766011399507483
4	0.7199740494217298
5	0.77114035839
6	0.8195364348563309
7	0.8678557186981679
8	0.919918940459935
9	0.9755680539273693
<-	1.0
=	0.6462993694179872
@+]	1.0
@-]	1.0
@@+]	1.0
@@-]	1.0
@@H+]	1.0
@@H-]	1.0
@@H]	0.7282618563432898
@@]	0.8365961220271021
@H+]	1.0
@H-]	1.0
@H]	0.7271221754926677
@]	0.8315091332334884
B	0.9593258997561469
Br	0.7727823833644583
C	0.5955678690790494
Cl	0.7241687516208092
F	0.7012805544524553
H+2]	1.0
H+3]	1.0
H+4]	1.0
H+5]	1.0
H+]	0.9214815958840683
H-2]	1.0
H-3]	1.0
H-8]	1.0
H-]	1.0
H2+2]	1.0
H2+3]	1.0
H2+4]	1.0
H2+]	1.0
H2-2]	1.0
H2-]	1.0
H2]	1.0
H3+2]	1.0
H3+3]	1.0
H3+4]	1.0
H3+]	1.0
H3-2]	1.0
H3-]	1.0
H3]	1.0
H4+2]	1.0
H4+3]	1.0
H4+]	1.0
H4-2]	1.0
H4-]	1.0
H4]	1.0
H5+2]	1.0
H5+]	1.0
H5-]	1.0
H5]	1.0
H6+]	1.0
H6-2]	1.0
H6-3]	1.0
H6-4]	1.0
H6]	1.0
H7]	1.0
H8-]	1.0
H]	0.7698049065284892
I	0.841686319662352
N	0.6493507108198024
O	0.6335917524477597
P	0.8549403794777756
S	0.7213368491267688
[Ac	1.0
[Ag	1.0
[Al	1.0
[Am	1.0
[Ar	1.0
[As	1.0
[At	1.0
[Au	1.0
[B	0.999096829901446
[Ba	1.0
[Be	1.0
[Bh	1.0
[Bi	1.0
[Bk	1.0
[Br	1.0
[C	0.6941352546892677
[Ca	1.0
[Cd	1.0
[Ce	1.0
[Cf	1.0
[Cl	0.9861400594292288
[Cm	1.0
[Co	1.0
[Cr	1.0
[Cs	1.0
[Cu	1.0
[Db	1.0
[Dy	1.0
[Er	1.0
[Es	1.0
[Eu	1.0
[F	1.0
[Fe	1.0
[Fm	1.0
[Fr	1.0
[Ga	1.0
[Gd	1.0
[Ge	1.0
[H	0.9023849282565056
[He	1.0
[Hf	1.0
[Hg	1.0
[Ho	1.0
[Hs	1.0
[I	1.0
[In	1.0
[Ir	1.0
[K	1.0
[Kr	1.0
[La	1.0
[Li	1.0
[Lr	1.0
[Lu	1.0
[Md	1.0
[Mg	1.0
[Mn	1.0
[Mo	1.0
[Mt	1.0
[N	0.7849687629659882
[Na	0.9758579913109539
[Nb	1.0
[Nd	1.0
[Ne	1.0
[Ni	1.0
[No	1.0
[Np	1.0
[O	0.789044740626373
[Os	1.0
[P	1.0
[Pa	1.0
[Pb	1.0
[Pd	1.0
[Pm	1.0
[Po	1.0
[Pr	1.0
[Pt	1.0
[Pu	1.0
[Ra	1.0
[Rb	1.0
[Re	1.0
[Rf	1.0
[Rh	1.0
[Rn	1.0
[Ru	1.0
[S	1.0
[Sb	1.0
[Sc	1.0
[Se	1.0
[Sg	1.0
[Si	0.8632114077748793
[Sm	1.0
[Sn	1.0
[Sr	1.0
[Ta	1.0
[Tb	1.0
[Tc	1.0
[Te	1.0
[Th	1.0
[Ti	1.0
[Tl	1.0
[Tm	1.0
[U	1.0
[V	1.0
[W	1.0
[Xe	1.0
[Y	1.0
[Yb	1.0
[Zn	1.0
[Zr	1.0
[b	1.0
[c	0.9974487969632387
[n	0.7674043619518442
[o	1.0
[p	1.0
[s	1.0
[se	1.0
[si	1.0
[te	1.0
\	0.798068682414582
]	0.8220553089855379
b	1.0
c	0.5934991940300091
n	0.6716536259863896
o	0.7687850939275153
p	1.0
s	0.7531795199760384
~	1.0
_	0.1
<unk>	1.0
<end>	1.0
